"","Hi_2338_1","Hi_2338_2","Hi_2338_3","Hi_2338_4","Hi_2338_5","Hi_2338_6","Hi_2338_7","Hi_2338_8","Hi_2338_9","Hi_2338_10","Hi_2338_11","Hi_2338_12","Hi_2338_13","Hi_2338_14","Hi_2338_15","Hi_2338_16","Hi_2338_17","Hi_2338_18","Hi_2338_19","Hi_2338_20","Hi_2338_21","Hi_2338_22","Hi_2339_1","Hi_2339_2","Hi_2339_3","Hi_2339_4","Hi_2339_5","Hi_2339_6","Hi_2339_7","Hi_2339_8","Hi_2339_9","Hi_2339_10","Hi_2339_11","Hi_2339_12","Hi_2339_13","Hi_2339_14","Hi_2339_15","Hi_2339_16","Hi_2339_17","Hi_K562_1","Hi_K562_2","Hi_K562_3","Hi_K562_4","Hi_K562_5","Hi_K562_6","Hi_K562_7","Hi_K562_8","Hi_K562_9","Hi_K562_10","Hi_K562_11","Hi_BJ_1","Hi_BJ_2","Hi_BJ_3","Hi_BJ_4","Hi_BJ_5","Hi_BJ_6","Hi_BJ_7","Hi_BJ_8","Hi_BJ_9","Hi_BJ_10","Hi_BJ_11","Hi_BJ_12","Hi_BJ_13","Hi_BJ_14","Hi_BJ_15","Hi_BJ_16","Hi_BJ_17","Hi_BJ_18","Hi_BJ_19","Hi_BJ_20","Hi_BJ_21","Hi_BJ_22","Hi_BJ_23","Hi_BJ_24","Hi_BJ_25","Hi_BJ_26","Hi_BJ_27","Hi_BJ_28","Hi_BJ_29","Hi_BJ_30","Hi_BJ_31","Hi_BJ_32","Hi_BJ_33","Hi_BJ_34","Hi_BJ_35","Hi_BJ_36","Hi_BJ_37","Hi_K562_12","Hi_K562_13","Hi_K562_14","Hi_K562_15","Hi_K562_16","Hi_K562_17","Hi_K562_18","Hi_K562_19","Hi_K562_20","Hi_K562_21","Hi_K562_22","Hi_K562_23","Hi_K562_24","Hi_K562_25","Hi_K562_26","Hi_K562_27","Hi_K562_28","Hi_K562_29","Hi_K562_30","Hi_K562_31","Hi_K562_32","Hi_K562_33","Hi_K562_34","Hi_K562_35","Hi_K562_36","Hi_K562_37","Hi_K562_38","Hi_K562_39","Hi_K562_40","Hi_K562_41","Hi_K562_42","Hi_HL60_1","Hi_HL60_2","Hi_HL60_3","Hi_HL60_4","Hi_HL60_5","Hi_HL60_6","Hi_HL60_7","Hi_HL60_8","Hi_HL60_9","Hi_HL60_10","Hi_HL60_11","Hi_HL60_12","Hi_HL60_13","Hi_HL60_14","Hi_HL60_15","Hi_HL60_16","Hi_HL60_17","Hi_HL60_18","Hi_HL60_19","Hi_HL60_20","Hi_HL60_21","Hi_HL60_22","Hi_HL60_23","Hi_HL60_24","Hi_HL60_25","Hi_HL60_26","Hi_HL60_27","Hi_HL60_28","Hi_HL60_29","Hi_HL60_30","Hi_HL60_31","Hi_HL60_32","Hi_HL60_33","Hi_HL60_34","Hi_HL60_35","Hi_HL60_36","Hi_HL60_37","Hi_HL60_38","Hi_HL60_39","Hi_HL60_40","Hi_HL60_41","Hi_HL60_42","Hi_HL60_43","Hi_HL60_44","Hi_HL60_45","Hi_HL60_46","Hi_HL60_47","Hi_HL60_48","Hi_HL60_49","Hi_HL60_50","Hi_HL60_51","Hi_HL60_52","Hi_HL60_53","Hi_HL60_54","Hi_iPS_1","Hi_iPS_2","Hi_iPS_3","Hi_iPS_4","Hi_iPS_5","Hi_iPS_6","Hi_iPS_7","Hi_iPS_8","Hi_iPS_9","Hi_iPS_10","Hi_iPS_11","Hi_iPS_12","Hi_iPS_13","Hi_iPS_14","Hi_iPS_15","Hi_iPS_16","Hi_iPS_17","Hi_iPS_18","Hi_iPS_19","Hi_iPS_20","Hi_iPS_21","Hi_iPS_22","Hi_iPS_23","Hi_iPS_24","Hi_Kera_1","Hi_Kera_2","Hi_Kera_3","Hi_Kera_4","Hi_Kera_5","Hi_Kera_6","Hi_Kera_7","Hi_Kera_8","Hi_Kera_9","Hi_Kera_10","Hi_Kera_11","Hi_Kera_12","Hi_Kera_13","Hi_Kera_14","Hi_Kera_15","Hi_Kera_16","Hi_Kera_17","Hi_Kera_18","Hi_Kera_19","Hi_Kera_20","Hi_Kera_21","Hi_Kera_22","Hi_Kera_23","Hi_Kera_24","Hi_Kera_25","Hi_Kera_26","Hi_Kera_27","Hi_Kera_28","Hi_Kera_29","Hi_Kera_30","Hi_Kera_31","Hi_Kera_32","Hi_Kera_33","Hi_Kera_34","Hi_Kera_35","Hi_Kera_36","Hi_Kera_37","Hi_Kera_38","Hi_Kera_39","Hi_Kera_40","Hi_GW21.2_1","Hi_GW21.2_2","Hi_GW21.2_3","Hi_GW21.2_4","Hi_GW21.2_5","Hi_GW21.2_6","Hi_GW21.2_7","Hi_GW21.2_8","Hi_GW21.2_9","Hi_GW21.2_10","Hi_GW21.2_11","Hi_GW21.2_12","Hi_GW21.2_13","Hi_GW21.2_14","Hi_GW21.2_15","Hi_GW21.2_16","Hi_GW21_1","Hi_GW21_2","Hi_GW21_3","Hi_GW21_4","Hi_GW21_5","Hi_GW21_6","Hi_GW21_7","Hi_GW21_8","Hi_NPC_1","Hi_NPC_2","Hi_NPC_3","Hi_NPC_4","Hi_NPC_5","Hi_NPC_6","Hi_NPC_7","Hi_NPC_8","Hi_NPC_9","Hi_NPC_10","Hi_NPC_11","Hi_NPC_12","Hi_NPC_13","Hi_NPC_14","Hi_NPC_15","Hi_GW16_1","Hi_GW16_2","Hi_GW16_3","Hi_GW16_4","Hi_GW16_5","Hi_GW16_6","Hi_GW16_7","Hi_GW16_8","Hi_GW16_9","Hi_GW16_10","Hi_GW16_11","Hi_GW16_12","Hi_GW16_13","Hi_GW16_14","Hi_GW16_15","Hi_GW16_16","Hi_GW16_17","Hi_GW16_18","Hi_GW16_19","Hi_GW16_20","Hi_GW16_21","Hi_GW16_22","Hi_GW16_23","Hi_GW16_24","Hi_GW16_25","Hi_GW16_26"
"ACPP",0,6.25,0,0,0,0.77,0,0,2.95,0,0,0,6.65,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.74,0.44,0.24,0.54,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.33,0.23,0.85,0.66,0.21,0,0,0,0,0,0,0.62,0.26,0.86,0.48,0,0,0.29,0.64,0.43,0.27,0.59,0,0.49,0.22,0,0.22,0.1,0.47,0,0,0,0,0,182.02,0,0,0,0,0,70.16,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,1.54,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,1.22,0,0,0
"GPR34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0.37,0,0,0,0,0,13.93,198.66,453.8,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,49.34,0,0,0,0,0,37.15,0,0,0,0,0,0,0,0,0,0,61.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHC1",0.18,0.11,3.37,0.17,0,0,0.22,0,0,0,0,0,0.48,0.84,0,2.61,3.16,0,0,0,0,0.09,0,0,0,0,0,0,0,0,1.7,0,0,0,3.16,0.3,0,0.09,0,0.18,0.14,4.62,9.49,0.19,0,5.91,4.5,0.15,0.22,1.39,0,4.79,0,0,1.16,0,37.25,0,9.74,33.38,14.87,0,27.61,0,46.51,0,0,0,9.35,0,2.28,8.76,0,25.69,0.9,5.69,0,0,0,19.79,0,4.96,7.68,0,0.55,1.8,0,0.37,0,2.1,0.62,0.32,0.16,0.28,12.94,1.99,0,1.25,1.43,1.15,2.21,0.68,0,0,16.26,4.21,6.14,3.83,6.01,0.17,0,0,79.32,0,0,0,13.77,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,217.13,205.52,211.95,319.03,253.69,243.31,193.96,546.77,344.88,153.84,570.92,102.45,334.23,506.86,238.06,142.96,369.91,313.8,228.2,390.04,125.34,243.22,182.06,282.37,0,0,0,0,0,6.55,0.56,121.85,0,0,0.4,0,0,0,0,0,55.38,0,8.12,2.42,1.36,0,0,0,4.25,0.57,1.32,0,0,2.77,1.62,0,0,0,0,0,0,0,0,0.9,0,0,276.86,1.26,0,48.79,0,106.17,0,0.86,177.41,30.63,165.03,27.1,157.79,134.29,0,0,0,714.88,0,1.51,6.58,0,0.64,0,66.34,0.12,6.65,1.74,16.35,0.19,0,30.4,0.61,0,26.86,0,155.42,11.8,2.33,282.37,689.8,86.33,0,0,0,0,0,2.81,1518.42,522.15,0.17,0.19,0,0,1009.43,0.48,0,0.22,158.49,0,0.2,0,0
"FPR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.63,0,0,0,0,0,1.1,0,1.47,0,0,0,0,0,0,1.3,0.33,0,0,0,0,0,0.37,0,0,0,273.66,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.31,0,0,0,0,0,72.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPB41L4B",0.1,0,0,0.98,0,1.74,19.07,0,0,0,5.42,32.96,204.54,0.88,1.21,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.13,0,0,0,0,43.05,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,14.5,0,0,0,0,0.25,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.22,0,0,0,0.2,0.19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,4.66,0,0.14,0.25,1.84,6.56,0,0,85.58,0,94.61,2.91,0,0.72,55.85,0,0,0.78,16.83,0.18,17.94,0,0,0,0,0,0,0,0,0,7.59,0,0,1.36,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.92,0,0,0,0,0,0,0,0,12.22,37.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXW8",0,0,0.07,0.16,0,0.72,0,0,0,0.12,0,0.13,0,0,0,0.11,5.78,0,0,35.75,0,0,0,0.06,0.11,0,0,0.14,0.08,0,0.19,0,0.39,0,0,33.68,0,0,0,0.3,4.87,0,0.79,8.54,0,0.18,0.16,0.25,5.69,0.63,0,0,0,0.37,0,0,2.19,0,0,7.54,0,0,0.59,0,4.01,0,0,3.39,0.84,0,8.5,0,12.31,1.5,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.16,24.61,4.05,1.19,1.02,0.68,9.2,0.19,0.37,0,0.43,0.52,0.66,0,0.87,0,0.42,0.56,0.53,0.58,0.28,0,0.33,0.05,0,0.89,0,0,0,0,0,0,0,0,0,0,0,2.56,0,1.89,0,1.7,0,0,0,0,0,0,0,2.62,0,0,0,95.45,19.52,2.17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0.08,0,20.84,1.14,0.66,0.08,0,0,0.65,0.3,4.18,0,0,2.14,4.44,0.89,0.08,0,0.74,3.1,0,0,0,0,0,0.62,0,0,2.11,0,0,0,43.5,0,0,0,0,0,36.11,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,3.71,22.95,259.93,0,0,0.18,0.46,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.94,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0.22,0.33,0,0.23,0,443.92,0,0,0,0,0.41,0,0,0,0,0,0,0.29,0,0,0,0.4
"CLCN4",6.58,0,0.08,36.53,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0,0,0,0,0.15,0,0,0,0,1.56,0,21.17,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.18,0,0,0.28,0,0,0,0,0,0,0,0,0.14,0,0,0,0.09,0.1,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.27,0,0,0.12,0.06,0,0,0.56,0,25.32,0,0,0.25,12.53,0,3.14,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,135.08,29.15,0,0,0,0,68.91,0,0,144.91,0,0,0,0,0,0,0,0,0,0.1,0,0,0.16,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGPAT4-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.45,0,0,0,0,17.16,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,2.31,0.58,38.14,0,0,0,0,0.47,0.5,0,0.45,0,214.69,0,0,0.51,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,23.72,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.98,5.97,0,0,0,0,0,0,0,0,51.88,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.49,0,0,0,0,65.16,0,0,0,0,0,0,0,0
"CD69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,724.39,0,0,118.93,0,176.48,125.12,0,0,142.8,0.28,190.41,235.6,0,0,5.98,2.14,0,0,48.35,40.56,0,93.33,2.24,161.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.61,0,22.15,10.7,0.64,0,46.43,0,0,15.64,0,0,0,62.28,6.75,0,222.47,0,0,0,0,305.02,81.75,0,59.66,72.14,20.99,0.5,47.61,75.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KPNA2",426.63,107.27,598.03,153.47,154.57,173.32,3205.23,810.54,76.11,2322.83,224.53,161.59,22.38,107.32,147.68,3248.52,496.4,190.29,767.05,111.43,874.11,0.26,0,0.16,150.45,201.14,783.91,179.31,0,341.72,581.15,1902.08,1181.65,0.47,1943.4,1037.48,272.96,183.69,1163.77,564.94,364.6,1603.23,521.58,989.31,1998.13,334.89,689.76,1649.74,1907.59,1020.21,1631.51,1650.64,786.94,245.6,3043.37,176.59,393.1,443.28,474.89,448.83,590.19,1580.74,1009.85,1743.35,751.58,508.2,104.22,965.74,3077.44,475.7,295.55,124.29,934.69,814.02,1691.19,997.02,203.5,251.88,2990.72,211.74,1956.12,1320.5,460.74,617.71,1377.23,304.45,2417.58,1622.13,1340.63,1614.12,531.62,1190.74,210.74,1152.7,2281.36,1020.6,1728.18,203.62,1400.84,390.4,327.73,1826.6,338.76,190.71,1302.51,2158.87,500.65,654.25,733.31,501.01,383.75,854.59,448.87,246.13,377.57,638.49,945.99,1561.54,622.66,280.57,1.17,0,372.86,316.21,165.9,396.98,116.03,1566.44,171.8,1.88,1054.8,185.91,560.65,134.85,189.79,54.35,191.09,15.48,0,254.67,1.37,580.75,0.98,4.22,1.31,445.27,15.42,1.63,108.09,969.78,212.1,729.67,124.51,248.9,85.93,13.4,0,1766.54,665.39,4.22,1128.57,85.21,1.56,1762.04,908.16,223.99,1.6,1862.28,1390.73,1283.61,46.61,1298.36,185.5,1192.19,392.88,772.56,689.98,1414.94,394.8,491.32,553.1,825.29,3673.69,1395.71,681.79,671.14,1640.61,976.25,1189.92,1713.74,476.79,953.11,4356.22,397.82,4750.41,938.17,3567.41,692.81,932.12,3426.2,1306.62,583.62,818.44,1123.45,1485.63,1032.53,1739.3,706.72,1841.24,901.14,3393.57,2296.21,1890.81,541.67,3142.63,1122.66,3043.77,886.24,270.99,203.35,2451.79,307.25,2574.01,778.01,692.97,4578.81,792.78,1137.53,140.26,448.09,1985.25,1072.73,155.89,886.59,2847.76,578.72,1.56,197.29,72.11,740.42,0,1415.88,0,722.98,358.76,1354.27,3247.61,951.71,134.37,606.91,830.05,1844.53,0.63,0.47,0,0,0.21,337.7,0,842.88,1424.71,603.3,5741.31,1397.7,485.74,2625.39,2465.04,327.82,473.47,2123.47,360.33,3400.98,394.26,4954.06,5783.53,0.68,1.42,4156.77,950.44,376.68,462.34,0,0,0,0,0,0,3332.36,849.76,0,2555.98,0,13.03,0,298.79,943.2,4838.43,1782.99,53.29,0.6,0.73
"LRRC37BP1",0.08,0,1.22,0.64,43.09,17.18,43.27,26.5,5.08,0.12,16.41,1.56,68.8,45.75,2.53,0.11,11.25,3.57,4.96,58.91,11.33,16.35,4.06,0,2.47,0.08,0.16,4.25,0.08,1.53,0.1,25.3,0.13,0.79,0,0.28,0.12,21.72,3.7,3.15,5.66,4.83,3.82,0.85,1.09,4.18,1.65,1.92,2.11,4.95,4.8,6.75,83.12,4.83,1.15,12.11,31.04,3.65,3.44,7.64,0,4.64,23.99,22.68,27.09,0,2.19,5.72,3.82,4.66,2.15,0.52,0.22,9.14,8.14,57.68,26.65,0.21,4.89,0,36.57,7.45,54.77,10.8,0,13.31,29.85,1.32,1,2.72,2.05,0.97,1.34,3.09,5.27,0.19,2.72,1.7,20.84,0.62,10.16,1.14,9.69,4.1,2.1,2.99,1.76,1.08,1.94,26.97,0.35,1.5,0.74,0.76,1.58,3.3,0.99,1.72,0,198.62,0,0,10.79,0.85,35.34,0.3,14.56,0,71.66,29.03,15.2,1.69,255.29,0,73.66,16.81,0,0,0.89,9.2,1.15,5.93,3.69,0.88,33.51,0,0.53,7.63,2.08,0,2.53,70.95,125.2,7.46,64.19,46.48,37.93,5.6,20.4,16.75,4.98,135.85,0.65,1.73,38.8,0.82,20.69,0.12,0,4.25,0.24,2.2,1.99,8.12,0.08,2.18,0.2,1.16,2.26,1.07,0.47,39.87,64.02,0,2.39,1.61,8.27,10.24,2.35,0.6,3.27,17.09,0,4.31,1.97,4.43,0,0.25,0,0,0,0,0,7.09,0,9.25,1.11,0,4.31,9.57,1.31,114.36,0,0,0,28.09,2.36,0,2.24,0,0,0.91,2.09,0.35,0,6.9,0,10.38,23.52,0,2.28,0,3.2,0.55,0.26,0,4.53,0.29,31.09,0.39,0.59,0.24,58.86,12.46,29.03,0,13.09,129.62,0.55,17.64,0.95,0.47,0,748.12,0,107.33,117.52,0,10.51,0.37,0,6.96,0.1,0.27,60.49,4.52,9.1,185.53,0.27,1.36,4.15,9,72.53,1.2,5.52,0.57,1.2,1.08,0,2.06,140.2,0.72,0,0.7,209.17,21.08,0,57.68,40.79,1213.95,0.24,0.2,10.39,6.4,0,0.25,0.3,0,480.34,535.05,0
"CYP39A1",0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0.26,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.82,57.65,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.32,0,0,0,0,106.85,0.75,0,0.26,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MXD3",0,0,0,0,6.55,0,0.29,9.1,0,0,0,0,0,0,0,43.07,18.9,0,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.39,0,1.3,0,0,0,0.41,2.33,0.43,0,15.46,0,0,0,0,0,9.21,0,0,0,28.88,10.59,0,0,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53,6.99,0,0,0,0,0.41,0.47,0,0.2,0,0,0,0,0.3,4.86,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0.98,0.23,0,0,0,0.14,0,0,0,0,0,0,0.54,5.91,0,0,46.89,0,0,0,0,0,0,0,0,0.43,0,2.29,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,2.08,0,0,0,0,0,0,0,0,0.43,0,0,0,0,4.09,0,0,0,0,0,0,0,2.63,0,0,0,0,356.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.13,17.24,0,0,0,0.98,0,0,4.95,0,33.12,0,18.77,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,236.51,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,5.76,0,0,6.5,0,0,28.82,0,0,0,0,0,0,187.4,2.04,0,7.08,28.66,0,43.29,0,0.78,0,12.06,36.43,0,28.79,22.9,0,2.82,0,3.38,1.21,0,0,0,0,0,0,0,0,0,0,0,23.26,2.84,0,0,9.28,0,0,0,0,0,0,0,0,2.81,0,3.67,0,0,0,0.16,1.54,3.33,14.53,0,21.71,6.24,69,10.9,51.42,22.89,0.55,0.21,12.44,0,0,0,1.48,0,0,12.23,0.16,0,0.81,1.59,21.96,0,0.74,1.01,0,0,0,134.11,70.04,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,0,0,0,0.16,0,0,0,0,1.41,0.1,0,0,0,0,0,0,0,0,0,0,7.7,16.64,20.2,0,53.89,0,0,0,0,0,0.26,0,0,0,0,0,0,35.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,976.32,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.27,0,346.44,0,0.24,0.23,0,0,0,0,0,0,0,0,0,0,98.48,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
